,pubdate,author,title,label,Teksbersih
0,6/30/2022 22:11,Winzyyllll,"RT @Raii_Hanna: Dengan alunan Al-Kahfi di malam ini, semoga Allah memberi Rahmat dan Jalannya kepada kita  .  Bakri Putin Terimakasih Juni…",positif,alun al kahfi malam moga allah rahmat jalan bakri putin terimakasih juni
1,6/30/2022 22:11,helicathus,RT @txtdrpemerintah: mypertamina https://t.co/ait7W2Oyqy,netral,mypertamina
2,6/30/2022 22:11,MantrieCom,"#AndroidTV #Dieng #Viral #Tokopedia  #Kompas #MyPertamina Coba cek ini, deh: ""Hisense 32 inch HD Android Smart TV - Dolby Audio - HDMI - Model 32E4F"" Rp2.049.000 di toko Hisense Official Store Tokopedia. Bisa bebas ongkir, lho. https://t.co/V9vuCZp8w6 https://t.co/yl1SxJFyti",positif,androidtv dieng viral tokopedia kompas mypertamina coba cek deh hisense inch hd android smart tv dolby audio hdmi model rp toko hisense official store tokopedia bebas ongkir lho
3,6/30/2022 22:10,MantrieCom,"#AndroidTV #Dieng #Viral #Tokopedia  #Kompas #MyPertamina Coba cek ini, deh: ""Hisense 40 inch Smart TV Natural Colour Enhancer Clean View 40E4F"" Rp2.849.000 di toko Hisense Official Store Tokopedia. Bisa bebas ongkir, lho. https://t.co/gaHuScLEWW https://t.co/gyBGgGspSv",positif,androidtv dieng viral tokopedia kompas mypertamina coba cek deh hisense inch smart tv natural colour enhancer clean view rp toko hisense official store tokopedia bebas ongkir lho
4,6/30/2022 22:10,shososhort,Ini kalau beli bensin dah harus pake apk mypertamina?,netral,beli bensin dah pake apk mypertamina
5,6/30/2022 22:10,alanesia,RT @detikcom: Sebagian warga Kota Tasikmalaya memilih membeli BBM di SPBU daerah tetangga pada hari pertama uji coba beli BBM pakai MyPerta…,netral,warga kota tasikmalaya pilih beli bbm spbu daerah tetangga uji coba beli bbm pakai myperta
6,6/30/2022 22:10,Dizmaz,@gandewaseta Tuku bbm subsidi sing kudu nganggo aplikasi mypertamina..,positif,tuku bbm subsidi sing kudu nganggo aplikasi mypertamina
7,6/30/2022 22:10,primaldini,"@MyPertaminaID sudah daftar subsidi tepat,tp ga bisa save data kendaraan ny,mu edit juga ga bisa,gimana nih #mypertamina#sunbsiditepat#pertamina@detikcom",positif,daftar subsidi tp ga save data kendara ny mu edit ga gimana nih mypertamina sunbsiditepat pertamina
8,6/30/2022 22:10,MantrieCom,"#AndroidTV #Dieng #Viral #Tokopedia  #Kompas57 #MyPertamina Coba cek ini, deh: ""CHiQ Smart tv 32 Inch Newest Android11 Frameless Digital LED TV L32G7P"" Rp1.959.020 di toko CHiQ Official Store Tokopedia. Bisa bebas ongkir, lho. https://t.co/5gDfMNiIgs https://t.co/So96my6p2k",positif,androidtv dieng viral tokopedia kompas mypertamina coba cek deh chiq smart tv inch newest android frameless digital led tv rp toko chiq official store tokopedia bebas ongkir lho
9,6/30/2022 22:10,MantrieCom,"#AndroidTV #Dieng #Viral #Tokopedia  #Kompas #MyPertamina  Coba cek ini, deh: ""TERMURAH Androit TV Box MXQ 4K HD 2GB/16GB Androit Wireless"" Rp255.000 di toko VIVERR store Tokopedia. Bisa bebas ongkir, lho. https://t.co/VNSfqQZm5Y https://t.co/8xtYpGoHwQ",positif,androidtv dieng viral tokopedia kompas mypertamina coba cek deh murah androit tv box hd gb gb androit wireless rp toko viverr store tokopedia bebas ongkir lho
10,6/30/2022 22:09,apolloresor,RT @kalla_jengking: Solusi efektif menekan beban keuangan negara adalah penyaluran subsidi BBM tepat sasaran.  Salah satu cara mengendalika…,negatif,solusi efektif tekan beban uang negara salur subsidi bbm sasar salah mengendalika
11,6/30/2022 22:09,bimspdd,gini mulu dahh mypertamina https://t.co/hIW3MWpLGm,netral,gin mulu dahh mypertamina
12,6/30/2022 22:09,apolloresor,RT @chinta_chintata: Pembuatan MyPertamina yang digunakan sebagai syarat pembelian bahan bakar minyak (BBM) bersubsidi seperti pertalite da…,positif,buat mypertamina syarat beli bahan bakar minyak bbm subsidi pertalite da
13,6/30/2022 22:09,tembok_bernyawa,"RT @asgharsaleh: Antrian panjang gegara MyPertamina. Meski Ternate tidak masuk kota ujicoba,  kebanyakan warga menolak terutama supir angko…",negatif,antri gegara mypertamina ternate masuk kota ujicoba banyak warga tolak supir angko
14,6/30/2022 22:09,Joe_Jhon86,RT @bachrum_achmadi: Beli pertalite &amp; solar pake mypertamina. Beli tabung gas 3kg &amp; migor curah pake PeduliLindungi. 🤦‍♂️  Eh...giliran pem…,netral,beli pertalite amp solar pake mypertamina beli tabung gas kg amp migor curah pake pedulilindungi eh gilir pem
15,6/30/2022 22:09,apolloresor,"RT @catatankaqihati: Jangan skeptis gtu ah, padahal pemberlakuan MyPertamina demi kebaikan bersama.  Kenapa? Pemberlakuan MyPertamina berma…",netral,skeptis gtu ah laku mypertamina baik laku mypertamina berma
16,6/30/2022 22:08,apolloresor,RT @KangCendol_33: Pemberlakuan MyPertamina bermanfaat untuk mengendalikan subsidi pemerintah untuk BBM Pertalite... Aplikasi MyPertamina s…,positif,laku mypertamina manfaat kendali subsidi perintah bbm pertalite aplikasi mypertamina
17,6/30/2022 22:08,Ojoklalenya,"RT @Camelaila1: @Ojoklalenya @Dennysiregar7 @KRMTRoySuryo2 Tak Hanya Pertalite, Beli LPG 3 Kg Juga Harus Daftar ke MyPertamina https://t.co…",netral,pertalite beli lpg kg daftar mypertamina
18,6/30/2022 22:08,onlybenz25,#mypertamina #pertalite #mypertaminakocak hmmm apk ga siap. https://t.co/Gv1P6DHhK4,positif,mypertamina pertalite mypertaminakocak hmmm apk ga
19,6/30/2022 22:08,apolloresor,RT @forjakeu: Mari Dukung Kebijakan Pemerintah.  Salah satu cara mengendalikan penyaluran BBM subsidi dan penugasan yakni Solar dan Pertali…,netral,mari dukung bijak perintah salah kendali salur bbm subsidi tugas solar tali
20,6/30/2022 22:08,KepaArgawinata,"RT @KompasTV: Hari Ini Uji Coba MyPertamina Mulai Berlaku, Pertamina Berikan Solusi Bagi yang Tidak Punya HP https://t.co/Bd33j7UDgw https:…",negatif,uji coba mypertamina laku pertamina solusi hp https
21,6/30/2022 22:08,LahUdahan,"RT @CNNIndonesia: Dicap Menyusahkan, MyPertamina Dapat Review Jelek di Google Play https://t.co/BzYzkbTwHj",negatif,cap susah mypertamina review jelek google play
22,6/30/2022 22:08,apolloresor,"RT @garuda080: Pemberlakuan MyPertamina bermanfaat untuk mengendalikan subsidi pemerintah untuk BBM Pertalite Sebagai BBM bersubdisi, penya…",positif,laku mypertamina manfaat kendali subsidi perintah bbm pertalite bbm bersubdisi penya
23,6/30/2022 22:07,KepaArgawinata,"RT @KompasTV: Pertamina: Gunakan MyPertamina di SPBU Aman, yang Tidak Boleh Lakukan Panggilan Telepon https://t.co/X3GCgoYTWK https://t.co/…",negatif,pertamina mypertamina spbu aman laku panggil telepon
24,6/30/2022 22:07,AppleRetweetBot,"RT @MantrieCom: #iPad #Apple #Dieng #viral #MyPertamina #Tokopedia #Kompas Coba cek ini, deh: ""Apple iPad 9 / 9th Generation 2021 10.2 Inch…",netral,ipad apple dieng viral mypertamina tokopedia kompas coba cek deh apple ipad th generation inch
25,6/30/2022 22:07,apolloresor,RT @AlshaibaShihab: Pemberlakuan MyPertamina itu bermanfaat utk mengendalikan subsidi pemerintah yaitu BBM jenis Pertalite agar tepat sasar…,positif,laku mypertamina manfaat utk kendali subsidi perintah bbm jenis pertalite sasar
26,6/30/2022 22:07,apolloresor,RT @TaniaRozi: Aku sudah Unduh Aplikasi MyPertamina ini loh. Coba deh keren.👍🏽 Pemberlakuan MyPertamina bermanfaat untuk mengendalikan subs…,positif,unduh aplikasi mypertamina loh coba deh keren laku mypertamina manfaat kendali subs
27,6/30/2022 22:07,Nurramadaniii,Nunggu trending mypertamina 😂,netral,nunggu trending mypertamina
28,6/30/2022 22:07,cariviralcom,"Hari Ini Sudah Dibuka, Begini Cara Daftar MyPertamina buat Beli Pertalite https://t.co/Dz1b19yLEr",negatif,buka daftar mypertamina beli pertalite
29,6/30/2022 22:07,apolloresor,RT @Anggita_lung: Pemakaian Aplikasi MyPertamina Agar BBM Bersubsidi Tepat Sasaran. “Data yang sudah didaftarkan akan diverifikasi atau dic…,positif,pakai aplikasi mypertamina bbm subsidi sasar data daftar verifikasi dic
30,6/30/2022 22:07,apolloresor,"RT @Anggita_lung: Sebagai BBM bersubdisi, penyaluran Solar dan Pertalite diatur oleh sejumlah regulasi, Peraturan Presiden No. 191 Tahun 20…",netral,bbm bersubdisi salur solar pertalite atur regulasi atur presiden no
31,6/30/2022 22:07,_dnnr_,RT @PRFMnews: Pemkot Bandung: Pengendara Motor Tak Perlu Pakai Aplikasi MyPertamina untuk Beli Pertalite https://t.co/2ox2enSB2m,negatif,pemkot bandung kendara motor pakai aplikasi mypertamina beli pertalite
32,6/30/2022 22:07,apolloresor,RT @Penyair_Berdiri: Pemberlakuan MyPertamina bermanfaat untuk mengendalikan subsidi pemerintah yaitu BBM Pertalite. Pertamina dapat mengen…,positif,laku mypertamina manfaat kendali subsidi perintah bbm pertalite pertamina ken
33,6/30/2022 22:06,mapaybandungcom,Cara Daftar MyPertamina Lewat https://t.co/MgZLeoeDeM untuk Beli Bensin Bersubsidi yang Berlaku Mulai Hari Ini https://t.co/H6QUKKgBOX,netral,daftar mypertamina beli bensin subsidi laku
