,pubdate,author,title,label,Teksbersih
0,6/28/2022 23:02,asli3in1,RT @glrhn: Pertamina: Dilarang menggunakan telepon seluler saat sebelum/saat/sesudah pengisian bahan bakar. Also Pertamina: Beli bahan baka…,netral,pertamina larang telepon seluler isi bahan bakar also pertamina beli bahan baka
1,6/28/2022 23:02,marshaclarisah,"RT @small_MOFO: kontol, lu bikin mypertamina cuman buang duit  🙏  ya gila aja lo di pedalaman mau pake app pertamina yang butuh internet, n…",negatif,kontol lu bikin mypertamina cuman buang duit ya gila aja lo dalam pake app pertamina butuh internet
2,6/28/2022 23:02,mohtahid,RT @B_dzoel: Beli BBM make Apk MyPertamina 🙄 Lah ituh Apk nempelinnyah dijidat ya @pertamina ? Cuman di endonesa nyang apah² serba dibikin…,netral,beli bbm make apk mypertamina ituh apk nempelinnyah jidat ya cuman endonesa nyang apah serba bikin
3,6/28/2022 23:02,GantarGiwang,RT @msaid_didu: Berharap @pertamina menghentikan mekanisme pembelian BBM bersubsidi melalui pendaftaran lewat aplikasi MyPertamina krn blm…,positif,harap henti mekanisme beli bbm subsidi daftar aplikasi mypertamina blm
4,6/28/2022 23:02,aris_apuesto,"RT @Hasbil_Lbs: Jadi selama ini kita dibohongi, ternyata boleh main HP di Pom Bensin?????? Jawab dulu @pertamina..Bapak Ibu Dewan di @DPR_R…",netral,bohong main hp pom bensin dewan
5,6/28/2022 23:02,SSyuban,"RT @tukangngopihits: SPBU² di Bandung, kl antrian panjang sengaja di layanin 1 pompa. Tanya petugas katanya biar pindah isi Pertamax. Kalo…",netral,spbu bandung kl antri sengaja layanin pompa tugas biar pindah isi pertamax kalo
6,6/28/2022 23:01,onassis_siregar,"RT @maspiyuaja: Pertamina era Ahok: Kalau Bisa Dipersusah, Kenapa Dipermudah https://t.co/KrucaE3Q62 https://t.co/hOjyzSsR0R",netral,pertamina era ahok susah mudah
7,6/28/2022 23:01,hanifrbbn,"RT @arsenalskitchen: [TERBARU] #oot   Pertamina ini cuma mematuhi mahzab lama dari pemerintah, yaitu kalau bisa ribet dan menyusahkan, ya n…",negatif,baru oot pertamina patuh mahzab perintah ribet susah ya
8,6/28/2022 23:00,bibullbegins,RT @detikcom: Berikut ini daftar harga Pertalite dan Pertamax hari ini di seluruh SPBU Pertamina se-Indonesia.  https://t.co/1p6zBTDmZZ,positif,daftar harga pertalite pertamax spbu pertamina indonesia
9,6/28/2022 23:00,kumparan,"PT Pertamina (Persero) mengimbau agar masyarakat segera mendaftar untuk pembelian BBM jenis Pertalite di aplikasi MyPertamina. Lantas, bagaimana langkah-langkah untuk mendaftar? Simak infografis berikut. #TopNews https://t.co/yKLQurQayf https://t.co/YynYPTlfzT",positif,pt pertamina persero imbau masyarakat daftar beli bbm jenis pertalite aplikasi mypertamina lantas langkah langkah daftar simak infografis topnews
10,6/28/2022 23:00,perangutan_,"@mardigu024 Nanti kalau ada korban, kebakaran, hingga korban jiwa karena main HP di spbu @pertamina siapa yg tanggung jawab? @KementerianESDM @BPMigasID @DPR_RI @FPKSDPRRI @FPD_DPR @jokowi ?",negatif,korban bakar korban jiwa main hp spbu yg tanggung
11,6/28/2022 23:00,trans7club,"Mulai 1 Juli 2022, beli BBM Pertalite dan Solar harus memiliki QR Code yang terdaftar di MyPertamina. Hal ini untuk menyesuaikan BBM bersubsidi kepada masyarakat agar tepat sasaran.  Baca selengkapnya cara mendaftar https://t.co/QEHepSpb8i  #trans7update #sobat7jaditau #pertamina https://t.co/Lnhgr1p76k",positif,juli beli bbm pertalite solar milik qr code daftar mypertamina sesuai bbm subsidi masyarakat sasar baca lengkap daftar trans update sobat jaditau pertamina
12,6/28/2022 22:59,Trieszeguet,@Pierowae96 @RPanggaleh @ibas_1910 @TaufikDamas @pertamina otakmu sungsang drunn..,netral,otak sungsang drunn
13,6/28/2022 22:59,JackMusi,"@detikcom Tolak usulan beli Pertalite harus pakai My Pertamina bikin susah dan sengsara rakyat... kalau perlu Rakyat turun ke jalan. Kalau tidak punya hp, tidak punya kuota, low battery, terus ngga bisa beli Pertalite. Itu menyusahkan rakyat. @pertamina , @KemenBUMN ,@jokowi",negatif,tolak usul beli pertalite pakai my pertamina bikin susah sengsara rakyat rakyat turun jalan hp kuota low battery ngga beli pertalite susah rakyat
14,6/28/2022 22:59,Singa_Nala,@mardigu024 Suruh pakai wifi Pertamina 🤣,netral,suruh pakai wifi pertamina
15,6/28/2022 22:59,Trieszeguet,@RPanggaleh @ibas_1910 @TaufikDamas @pertamina otakmu sungsang.,netral,otak sungsang
16,6/28/2022 22:59,yoeandha01,"@small_MOFO ""gila aja lo dipedalaman pake app pertamina yg butuh internet""  Mau tau pedalaman mana aja yg pakai apps my pertamina per 1 juli nanti?  🤣🤣🤣",negatif,gila aja lo dalam pake app pertamina yg butuh internet tau dalam aja yg pakai apps my pertamina juli
17,6/28/2022 22:58,SuryaNusana,"Pertamina siap jalankan uji coba penyaluran BBM bersubsidi tepat sasaran, melalui aplikasi MyPertamina dimana masyarakat sudah mulai bisa mendaftar pada 1 Juli 2022. https://t.co/td80bKcv7F",positif,pertamina jalan uji coba salur bbm subsidi sasar aplikasi mypertamina mana masyarakat daftar juli
18,6/28/2022 22:58,AndrianZul,@KRMTRoySuryo2 Gagal urus pertamina... Rakyat yang di buat Susah.... Djancookkk,negatif,gagal urus pertamina rakyat susah djancookkk
19,6/28/2022 22:57,GVerronika,"Dirut Pertamina patra niaga, Alfian Nasution berpendapat Pertamina sebagai badan usaha yang menjual Pertalite dan Solar harus patuh, agar penyaluran BBM yang disubsidi pemerintah dapat tepat sasaran dan tepat kuota. https://t.co/JcKYURlDSq",positif,dirut pertamina patra niaga alfian nasution dapat pertamina badan usaha jual pertalite solar patuh salur bbm subsidi perintah sasar kuota
20,6/28/2022 22:57,Edi_Tyoo,"1 Juli 2022 masyarakat bisa lakukan pendaftaraan aplikasi MyPertamina, Pertamina saat ini tengah bersiap jalankan uji coba penyaluran BBM bersubsidi tepat sasaran di 5 provinsi yaitu Sumbar, Kalsel, Sulut, Jabar, DIY https://t.co/CVUzuWeMO3",positif,juli masyarakat laku pendaftaraan aplikasi mypertamina pertamina jalan uji coba salur bbm subsidi sasar provinsi sumbar kalsel sulut jabar diy
21,6/28/2022 22:57,etanalishe,@convomf PG : tunas harapan pertamina TK : tunas harapan Pertamina SD : SD plus murung pudak SMP : SMP plus murung pudak SMA : sman 1 tanjung,netral,pg tunas harap pertamina tk tunas harap pertamina sd sd plus murung pudak smp smp plus murung pudak sma sman tanjung
